advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number
73300,5647,G Wallace,8654665687
73300,5648,Dudley's HVAC,3012464262
73300,5649,Dorman Heating & Cooling,8283899930
73300,5650,Schejbal Heating & Cooling inc.,3148460565
73300,5651,"A-Plus Mechanical Services, Inc",2819705200
73300,5652,"Meyer Heating and Cooling, LLC",3148451929
73300,5653,"Tim's Heating & Air Conditioning, Inc",9106023324
73300,5654,CNY Mechanical of Wilmington,9107983000
73300,5655,Claud Heating & Air,6153674805
73300,5656,Morpat Climate,7186055054
73300,5657,Sam Refrigeration,6016687388
73300,5658,Arnil Refrigeration,8136546655
73300,5659,Lefever Plumbing & Heating,5742938709
73300,5660,Enviro Heating & Air,6315671300
73300,5661,Flecke Heating & Cooling,3149711692
73299,5662,Long's Air Conditioning,8634657771
73300,5663,Walker HVAC,8178017084
73300,5664,Air Control Engineering,6627131008
73299,5665,Sunset Heating and Cooling,5032340611
73300,5666,"The Heat Exchange, Inc.",5033125755
73300,5667,Carlton Heat & Air Inc.,3867673611
73300,5668,Lamborn & Son Refrigeration Services,2672307286
73300,5669,WH Pacific,9152254986
73300,5670,Southern Climate Control,8642682383
73300,5671,Bath Engineering Corporation,
73300,5672,Federal Aviation Administration,8133610148
73300,5673,Indsucon Corp.,8139158982
73300,5674,"Kachina Sheet Metal, Inc.",6023409796
73299,5675,Air Around The Clock A/C,8662836300
73300,5676,"M & H Mechanical, Inc.",4803304187
73300,5677,Global Cooling Inc.,7188329009
73299,5678,"Vigilante Plumbing, Heating & Air Conditioning",7185226111
73299,5679,"Evenflow Mechanical, Inc.",3103262249
73299,5680,Hassinger Heating & Air,9494935954
73299,5681,"Spring Air, Inc.",5418993155
73300,5682,Alpha Heating & Sheet Metal,5417702723
73300,5683,"At Your Service, LTD",7246252456
73300,5684,Superior Air,8586356270
73300,5685,Mr. Mike's Home Heating & Air,8583618356
73300,5686,CAC Inc.,5053436100
73299,5687,"Ranco Enterprises, Inc.",7813967178
73300,5688,USA Mechanical,9525941135
73299,5689,R & R Mechanical Services,2152888880
73300,5690,Annison-Bitter Heating & A/C,2256650199
73300,5691,Pro Freeze Mechanical,3475245821
73300,5692,ACCO Engineered Systems - Sacramento,9168525050
73299,5693,Tom Rechtin Heating and Air,8592618269
73300,5694,J.K. Johnson Mechanical Contractors,2563830313
73300,5695,DeHart Air Conditioning,4052240184
73300,5696,Woolley's Refrigeration Contractors Inc.,5416893154
73300,5697,Sierra Mechanical Corporation,7324410500
73300,5698,ARS - Dallas,2146343517
73300,5699,"Mechanical Consultants, Inc.",2707859505
73300,5700,"TDK Energy Control, LLC",9087662100
73300,5701,"Air Dynamics, Inc.",2034570853
73300,5702,Perfection Services,8598851488
73300,5703,"Davis & Plomin Mechanical, Inc.",8592533792
73300,5704,"Bob's Maintenance Service, LLC",9738840065
73300,5705,Daimion Heating & A/C,6106440537
73299,5706,Dalco Heating & A/C,3039797541
73299,5707,Jeff Wright HVAC,8045194677
73300,5708,"Dutch Heating and A/C, Inc.",8037940318
73299,5709,Daniel's Heating & Air Conditioning,3527265845
73299,5710,Doug's Heating & Air,3097642500
73300,5711,V Mechanical Group,7088636737
73299,5712,FJ Hess and Sons Plumbing and Heating,5708391300
73299,5713,Four Seasons Heating and Air Conditioning,8553767162
73300,5714,Four Seasons  Air Conditioning And Heating Company Inc,3615926433
73300,5715,Robbins Heating & Air,7195973014
73299,5716,"William C. Fox Heating &  A/C, Inc.",6098776659
73300,5717,Fredonia Heating & Plumbing,7166791652
73300,5718,Funk Electrical Services Inc.,3017397836
73300,5719,Gary Air,9419570049
73299,5720,Concord Heating & Air,7047866608
73300,5721,Air Repair,7047862665
73300,5722,"Groner A/C & Heating Service, Inc.",5169358484
73300,5723,"A/C Control, Inc.",8182321506
73299,5724,DML & S A/C & HTG,6318626016
73299,5725,Gilleland & Merkosky,7244372430
73300,5726,"Arkansas Air Flow, Inc.",5018351973
73299,5727,Total Climate Control,6037532728
73300,5728,Air Regional,8188337351
73300,5729,"Global Mechanical, Inc.",4152033640
73300,5730,Suffolk Systems,6314231221
73300,5731,CFM Commercial HVAC,5709432065
73300,5732,Budget Heating & A/C,8432488929
73300,5733,Apollo Inc,5098083670
73299,5734,"Building Control Systems, LLC",5047331324
73300,5735,"Art Douglas Plumbing, Inc",5592225306
73299,5736,"Pool Heating & Air, Inc.",7065971643
73300,5737,Mount Diablo School District,9259985120
73299,5738,"Grove Heating & Cooling, Inc.",3014645161
73300,5739,LaFitte HVAC,9366727696
73300,5740,Weigand Enterprises,7133052924
73300,5741,"Coil Techs HVAC Services, Inc.",7183513005
73300,5742,Lion's HVAC,7189721571
73300,5743,RGB Mechanical,8709721560
73300,5744,South County Air,9493612247
73300,5745,"PBS Engineers, Inc.",6266500350
73300,5746,Goss Engineering,9513401977
73300,5747,Loyola Academy,8479202464
73300,5748,Oklahoma Air Conditioning,4058488688
73299,5749,Phillips & Sons,5026955115
73300,5750,Kadlec HVAC,8059634900
73299,5751,"Dayton's Heating & Cooling, Inc.",8122756963
